Chronologic VCS simulator copyright 1991-2014
Contains Synopsys proprietary information.
Compiler version I-2014.03-2; Runtime version I-2014.03-2;  May 16 00:47 2016
		time,	mlier,	mcand,	clock,	valid,	reset,	start,	prodt
                   0,	1001011110010111,	1101010011010100,	0,	x,	1,	1,	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
                  20,	1001011110010111,	1101010011010100,	1,	0,	1,	1,	00000000000000000000000000000000
                  25,	1001011110010111,	1101010011010100,	1,	0,	0,	1,	00000000000000000000000000000000
                  40,	1001011110010111,	1101010011010100,	0,	0,	0,	1,	00000000000000000000000000000000
                  60,	1001011110010111,	1101010011010100,	1,	1,	0,	1,	01111110000001101001010100001100
                  80,	1001011110010111,	1101010011010100,	0,	1,	0,	1,	01111110000001101001010100001100
                 100,	1001011110010111,	1101010011010100,	1,	1,	0,	1,	01111110000001101001010100001100
                 120,	1001011110010111,	1101010011010100,	0,	1,	0,	1,	01111110000001101001010100001100
                 140,	1001011110010111,	1101010011010100,	1,	1,	0,	1,	01111110000001101001010100001100
                 160,	1001011110010111,	1101010011010100,	0,	1,	0,	1,	01111110000001101001010100001100
                 180,	1001011110010111,	1101010011010100,	1,	1,	0,	1,	01111110000001101001010100001100
                 200,	1001011110010111,	1101010011010100,	0,	1,	0,	1,	01111110000001101001010100001100
                 220,	1001011110010111,	1101010011010100,	1,	1,	0,	1,	01111110000001101001010100001100
                 225,	1001011110010111,	1101111011011110,	1,	1,	0,	1,	01111110000001101001010100001100
                 240,	1001011110010111,	1101111011011110,	0,	1,	0,	1,	01111110000001101001010100001100
                 260,	1001011110010111,	1101111011011110,	1,	1,	0,	1,	10000011111110000110011011110010
                 280,	1001011110010111,	1101111011011110,	0,	1,	0,	1,	10000011111110000110011011110010
                 300,	1001011110010111,	1101111011011110,	1,	1,	0,	1,	10000011111110000110011011110010
                 320,	1001011110010111,	1101111011011110,	0,	1,	0,	1,	10000011111110000110011011110010
                 340,	1001011110010111,	1101111011011110,	1,	1,	0,	1,	10000011111110000110011011110010
                 360,	1001011110010111,	1101111011011110,	0,	1,	0,	1,	10000011111110000110011011110010
                 380,	1001011110010111,	1101111011011110,	1,	1,	0,	1,	10000011111110000110011011110010
                 400,	1001011110010111,	1101111011011110,	0,	1,	0,	1,	10000011111110000110011011110010
                 420,	1001011110010111,	1101111011011110,	1,	1,	0,	1,	10000011111110000110011011110010
                 425,	0001010100010101,	1101111111011111,	1,	1,	0,	1,	10000011111110000110011011110010
                 440,	0001010100010101,	1101111111011111,	0,	1,	0,	1,	10000011111110000110011011110010
                 460,	0001010100010101,	1101111111011111,	1,	1,	0,	1,	00010010011011111010100001001011
                 480,	0001010100010101,	1101111111011111,	0,	1,	0,	1,	00010010011011111010100001001011
                 500,	0001010100010101,	1101111111011111,	1,	1,	0,	1,	00010010011011111010100001001011
                 520,	0001010100010101,	1101111111011111,	0,	1,	0,	1,	00010010011011111010100001001011
                 540,	0001010100010101,	1101111111011111,	1,	1,	0,	1,	00010010011011111010100001001011
                 560,	0001010100010101,	1101111111011111,	0,	1,	0,	1,	00010010011011111010100001001011
                 580,	0001010100010101,	1101111111011111,	1,	1,	0,	1,	00010010011011111010100001001011
                 600,	0001010100010101,	1101111111011111,	0,	1,	0,	1,	00010010011011111010100001001011
                 620,	0001010100010101,	1101111111011111,	1,	1,	0,	1,	00010010011011111010100001001011
                 625,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	00010010011011111010100001001011
                 640,	1111111111111111,	1111111111111111,	0,	1,	0,	1,	00010010011011111010100001001011
                 660,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	11111111111111100000000000000001
                 680,	1111111111111111,	1111111111111111,	0,	1,	0,	1,	11111111111111100000000000000001
                 700,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	11111111111111100000000000000001
                 720,	1111111111111111,	1111111111111111,	0,	1,	0,	1,	11111111111111100000000000000001
                 740,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	11111111111111100000000000000001
                 760,	1111111111111111,	1111111111111111,	0,	1,	0,	1,	11111111111111100000000000000001
                 780,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	11111111111111100000000000000001
                 800,	1111111111111111,	1111111111111111,	0,	1,	0,	1,	11111111111111100000000000000001
                 820,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	11111111111111100000000000000001
                 840,	1111111111111111,	1111111111111111,	0,	1,	0,	1,	11111111111111100000000000000001
                 860,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	11111111111111100000000000000001
                 880,	1111111111111111,	1111111111111111,	0,	1,	0,	1,	11111111111111100000000000000001
                 900,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	11111111111111100000000000000001
                 920,	1111111111111111,	1111111111111111,	0,	1,	0,	1,	11111111111111100000000000000001
                 940,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	11111111111111100000000000000001
                 960,	1111111111111111,	1111111111111111,	0,	1,	0,	1,	11111111111111100000000000000001
                 980,	1111111111111111,	1111111111111111,	1,	1,	0,	1,	11111111111111100000000000000001
$finish called from file "array_tb.v", line 37.
$finish at simulation time               100000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 1000000 ps
CPU Time:      0.380 seconds;       Data structure size:   0.2Mb
Mon May 16 00:47:45 2016
