Chronologic VCS simulator copyright 1991-2014
Contains Synopsys proprietary information.
Compiler version I-2014.03-2; Runtime version I-2014.03-2;  May 16 00:46 2016
		time,	mlier,	mcand,	clock,	valid,	reset,	start,	prodt
                   0,	00000000000000000000000000000101,	00000000000000000000000000001101,	0,	x,	1,	1,	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
                  20,	00000000000000000000000000000101,	00000000000000000000000000001101,	1,	0,	1,	1,	0000000000000000000000000000000000000000000000000000000000000000
                  25,	00000000000000000000000000000101,	00000000000000000000000000001101,	1,	0,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                  40,	00000000000000000000000000000101,	00000000000000000000000000001101,	0,	0,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                  60,	00000000000000000000000000000101,	00000000000000000000000000001101,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                  80,	00000000000000000000000000000101,	00000000000000000000000000001101,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 100,	00000000000000000000000000000101,	00000000000000000000000000001101,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 120,	00000000000000000000000000000101,	00000000000000000000000000001101,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 140,	00000000000000000000000000000101,	00000000000000000000000000001101,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 160,	00000000000000000000000000000101,	00000000000000000000000000001101,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 180,	00000000000000000000000000000101,	00000000000000000000000000001101,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 200,	00000000000000000000000000000101,	00000000000000000000000000001101,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 220,	00000000000000000000000000000101,	00000000000000000000000000001101,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 225,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 240,	10111011101110111110111010111011,	11011101110110000101110111011101,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000001000001
                 260,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 280,	10111011101110111110111010111011,	11011101110110000101110111011101,	0,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 300,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 320,	10111011101110111110111010111011,	11011101110110000101110111011101,	0,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 340,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 360,	10111011101110111110111010111011,	11011101110110000101110111011101,	0,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 380,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 400,	10111011101110111110111010111011,	11011101110110000101110111011101,	0,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 420,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 425,	10111011101000111011101110111000,	11011101110111110100110111011101,	1,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 440,	10111011101000111011101110111000,	11011101110111110100110111011101,	0,	1,	0,	1,	1010001010101111111010000111111000110011101111110000011001101111
                 460,	10111011101000111011101110111000,	11011101110111110100110111011101,	1,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 480,	10111011101000111011101110111000,	11011101110111110100110111011101,	0,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 500,	10111011101000111011101110111000,	11011101110111110100110111011101,	1,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 520,	10111011101000111011101110111000,	11011101110111110100110111011101,	0,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 540,	10111011101000111011101110111000,	11011101110111110100110111011101,	1,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 560,	10111011101000111011101110111000,	11011101110111110100110111011101,	0,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 580,	10111011101000111011101110111000,	11011101110111110100110111011101,	1,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 600,	10111011101000111011101110111000,	11011101110111110100110111011101,	0,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 620,	10111011101000111011101110111000,	11011101110111110100110111011101,	1,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 625,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 640,	00000000000000000000000000000000,	00000000000000000000000000000000,	0,	1,	0,	1,	1010001010100000000001011100000010011001000101110110010111011000
                 660,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 680,	00000000000000000000000000000000,	00000000000000000000000000000000,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 700,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 720,	00000000000000000000000000000000,	00000000000000000000000000000000,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 740,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 760,	00000000000000000000000000000000,	00000000000000000000000000000000,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 780,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 800,	00000000000000000000000000000000,	00000000000000000000000000000000,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 820,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 840,	00000000000000000000000000000000,	00000000000000000000000000000000,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 860,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 880,	00000000000000000000000000000000,	00000000000000000000000000000000,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 900,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 920,	00000000000000000000000000000000,	00000000000000000000000000000000,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 940,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 960,	00000000000000000000000000000000,	00000000000000000000000000000000,	0,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
                 980,	00000000000000000000000000000000,	00000000000000000000000000000000,	1,	1,	0,	1,	0000000000000000000000000000000000000000000000000000000000000000
$finish called from file "array_tb.v", line 40.
$finish at simulation time               100000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 1000000 ps
CPU Time:      0.460 seconds;       Data structure size:   0.9Mb
Mon May 16 00:46:50 2016
