Chronologic VCS simulator copyright 1991-2014
Contains Synopsys proprietary information.
Compiler version I-2014.03-2; Runtime version I-2014.03-2;  May 16 00:48 2016
		time,	mlier,	mcand,	clock,	valid,	reset,	start,	prodt
                   0,	10110111,	11011110,	0,	x,	1,	1,	xxxxxxxxxxxxxxxx
                   4,	10110111,	11011110,	1,	0,	1,	1,	0000000000000000
                   8,	10110111,	11011110,	0,	0,	1,	1,	0000000000000000
                  12,	10110111,	11011110,	1,	0,	1,	1,	0000000000000000
                  16,	10110111,	11011110,	0,	0,	1,	1,	0000000000000000
                  20,	10110111,	11011110,	1,	0,	1,	1,	0000000000000000
                  24,	10110111,	11011110,	0,	0,	1,	1,	0000000000000000
                  25,	10110111,	11011110,	0,	0,	0,	1,	0000000000000000
                  28,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                  32,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                  36,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                  40,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                  44,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                  48,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                  52,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                  56,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                  60,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                  64,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                  68,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                  72,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                  76,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                  80,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                  84,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                  88,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                  92,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                  96,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 100,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 104,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 108,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 112,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 116,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 120,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 124,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 128,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 132,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 136,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 140,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 144,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 148,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 152,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 156,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 160,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 164,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 168,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 172,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 176,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 180,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 184,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 188,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 192,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 196,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 200,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 204,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 208,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 212,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 216,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 220,	10110111,	11011110,	1,	1,	0,	1,	1001111010110010
                 224,	10110111,	11011110,	0,	1,	0,	1,	1001111010110010
                 225,	10110111,	00011110,	0,	1,	0,	1,	1001111010110010
                 228,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 232,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 236,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 240,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 244,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 248,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 252,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 256,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 260,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 264,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 268,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 272,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 276,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 280,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 284,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 288,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 292,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 296,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 300,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 304,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 308,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 312,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 316,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 320,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 324,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 328,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 332,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
