Chronologic VCS simulator copyright 1991-2014
Contains Synopsys proprietary information.
Compiler version I-2014.03-2; Runtime version I-2014.03-2;  May 16 00:48 2016
		time,	clock,	mlier,	mcand,	start,	prodt_end,	valid
                   0,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,	x
                  10,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00000000000000000000000000000000000000000000000000000000000000000,	0
                  20,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00000000000000000000000000000000000000000000000000000000000000000,	0
                  30,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00000000000000000000000000000000011110111111101111111011111110111,	0
                  40,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00000000000000000000000000000000011110111111101111111011111110111,	0
                  50,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00110101111101011111010111110101111111011111110111111101111111011,	0
                  60,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00110101111101011111010111110101111111011111110111111101111111011,	0
                  70,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01010000111100001111000011110000101111101111111011111110111111101,	0
                  80,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01010000111100001111000011110000101111101111111011111110111111101,	0
                  90,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011110011011100110111001101110000111110111111101111111011111110,	0
                 100,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011110011011100110111001101110000111110111111101111111011111110,	0
                 110,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00101111001101110011011100110111000011111011111110111111101111111,	0
                 120,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00101111001101110011011100110111000011111011111110111111101111111,	0
                 130,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01001101100100011001000110010001010001111101111111011111110111111,	0
                 140,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01001101100100011001000110010001010001111101111111011111110111111,	0
                 150,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011100101111101011111010111110011000111110111111101111111011111,	0
                 160,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011100101111101011111010111110011000111110111111101111111011111,	0
                 170,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01100100010101010101010101010100111100011111011111110111111101111,	0
                 180,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01100100010101010101010101010100111100011111011111110111111101111,	0
                 190,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000001000001010000010100000001110001111101111111011111110111,	0
                 200,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000001000001010000010100000001110001111101111111011111110111,	0
                 210,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101010000001100100011001000101110111000111110111111101111111011,	0
                 220,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101010000001100100011001000101110111000111110111111101111111011,	0
                 230,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101010111110010001100100011000101011100011111011111110111111101,	0
                 240,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101010111110010001100100011000101011100011111011111110111111101,	0
                 250,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011011100101000001010000010000101110001111101111111011111110,	0
                 260,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011011100101000001010000010000101110001111101111111011111110,	0
                 270,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00110101101110010100000101000001000010111000111110111111101111111,	0
                 280,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00110101101110010100000101000001000010111000111110111111101111111,	0
                 290,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01010000110100101001011010010110010001011100011111011111110111111,	0
                 300,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01010000110100101001011010010110010001011100011111011111110111111,	0
                 310,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011110010111110100000101000000111000101110001111101111111011111,	0
                 320,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011110010111110100000101000000111000101110001111101111111011111,	0
                 330,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01100101001001011001011010010110001100010111000111110111111101111,	0
                 340,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01100101001001011001011010010110001100010111000111110111111101111,	0
                 350,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010001100000101000000110110001011100011111011111110111,	0
                 360,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010001100000101000000110110001011100011111011111110111,	0
                 370,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101010001110100101011010010110001011000101110001111101111111011,	0
                 380,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101010001110100101011010010110001011000101110001111101111111011,	0
                 390,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011000100110010000101000000110101100010111000111110111111101,	0
                 400,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011000100110010000101000000110101100010111000111110111111101,	0
                 410,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011011111111000011010010110001010110001011100011111011111110,	0
                 420,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011011111111000011010010110001010110001011100011111011111110,	0
                 430,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00110101101111111100001101001011000101011000101110001111101111111,	0
                 440,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00110101101111111100001101001011000101011000101110001111101111111,	0
                 450,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01010000110101011101011110011011010010101100010111000111110111111,	0
                 460,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01010000110101011101011110011011010010101100010111000111110111111,	0
                 470,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011110011000001110000111000011011001010110001011100011111011111,	0
                 480,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011110011000001110000111000011011001010110001011100011111011111,	0
                 490,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01100101001001100110011011010111011100101011000101110001111101111,	0
                 500,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01100101001001100110011011010111011100101011000101110001111101111,	0
                 510,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010010010100101100001011110010101100010111000111110111,	0
                 520,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010010010100101100001011110010101100010111000111110111,	0
                 530,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101010001110101000101010100110011111001010110001011100011111011,	0
                 540,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101010001110101000101010100110011111001010110001011100011111011,	0
                 550,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011000100110011101101001000111111100101011000101110001111101,	0
                 560,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011000100110011101101001000111111100101011000101110001111101,	0
                 570,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011011111111001001110011010001111110010101100010111000111110,	0
                 580,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101011011111111001001110011010001111110010101100010111000111110,	0
                 590,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00110101101111111100100111001101000111111001010110001011100011111,	0
                 600,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	00110101101111111100100111001101000111111001010110001011100011111,	0
                 610,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01010000110101011101101011011100010011111100101011000101110001111,	0
                 620,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01010000110101011101101011011100010011111100101011000101110001111,	0
                 630,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011110011000001110001101100011111001111110010101100010111000111,	0
                 640,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01011110011000001110001101100011111001111110010101100010111000111,	0
                 650,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01100101001001100110011110100111101100111111001010110001011100011,	0
                 660,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01100101001001100110011110100111101100111111001010110001011100011,	0
                 670,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010010010100111001001100110011111100101011000101110001,	1
                 680,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010010010100111001001100110011111100101011000101110001,	1
                 690,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010010010100111001001100110011111100101011000101110001,	1
                 700,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010010010100111001001100110011111100101011000101110001,	1
                 710,	1,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010010010100111001001100110011111100101011000101110001,	1
                 720,	0,	11110111111101111111011111110111,	11010111110101111101011111010111,	1,	01101000100010010010100111001001100110011111100101011000101110001,	1
                 725,	0,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01101000100010010010100111001001100110011111100101011000101110001,	1
                 730,	1,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01101000100010010010100111001001100110011111100101011000101110001,	0
                 740,	0,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01101000100010010010100111001001100110011111100101011000101110001,	0
                 750,	1,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	00000000000000000000000000000000010111011101110111110111010111011,	0
                 760,	0,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	00000000000000000000000000000000010111011101110111110111010111011,	0
                 770,	1,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	00110111011101100001011101110111011011101110111011111011101011101,	0
                 780,	0,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	00110111011101100001011101110111011011101110111011111011101011101,	0
                 790,	1,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01010011001100010010001100110010111101110111011101111101110101110,	0
                 800,	0,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01010011001100010010001100110010111101110111011101111101110101110,	0
                 810,	1,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	00101001100110001001000110011001011110111011101110111110111010111,	0
                 820,	0,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	00101001100110001001000110011001011110111011101110111110111010111,	0
                 830,	1,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01001100010000100110000001000011111111011101110111011111011101011,	0
                 840,	0,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01001100010000100110000001000011111111011101110111011111011101011,	0
                 850,	1,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01011101100101110100011110011001001111101110111011101111101110101,	0
                 860,	0,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01011101100101110100011110011001001111101110111011101111101110101,	0
                 870,	1,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01100110010000011011101101000011110111110111011101110111110111010,	0
                 880,	0,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	01100110010000011011101101000011110111110111011101110111110111010,	0
                 890,	1,	10111011101110111110111010111011,	11011101110110000101110111011101,	1,	00110011001000001101110110100001111011111011101110111011111011101,	0
