Chronologic VCS simulator copyright 1991-2014
Contains Synopsys proprietary information.
Compiler version I-2014.03-2; Runtime version I-2014.03-2;  May 16 00:49 2016
		time,	clock,	mlier,	mcand,	start,	prodt_end,	valid
                   0,	0,	10110111,	11011110,	1,	xxxxxxxxxxxxxxxxx,	x
                  10,	1,	10110111,	11011110,	1,	00000000000000000,	0
                  20,	0,	10110111,	11011110,	1,	00000000000000000,	0
                  30,	1,	10110111,	11011110,	1,	00000000010110111,	0
                  40,	0,	10110111,	11011110,	1,	00000000010110111,	0
                  50,	1,	10110111,	11011110,	1,	00110111101011011,	0
                  60,	0,	10110111,	11011110,	1,	00110111101011011,	0
                  70,	1,	10110111,	11011110,	1,	01010011010101101,	0
                  80,	0,	10110111,	11011110,	1,	01010011010101101,	0
                  90,	1,	10110111,	11011110,	1,	01100001001010110,	0
                 100,	0,	10110111,	11011110,	1,	01100001001010110,	0
                 110,	1,	10110111,	11011110,	1,	00110000100101011,	0
                 120,	0,	10110111,	11011110,	1,	00110000100101011,	0
                 130,	1,	10110111,	11011110,	1,	01001111110010101,	0
                 140,	0,	10110111,	11011110,	1,	01001111110010101,	0
                 150,	1,	10110111,	11011110,	1,	01011111011001010,	0
                 160,	0,	10110111,	11011110,	1,	01011111011001010,	0
                 170,	1,	10110111,	11011110,	1,	00101111101100101,	0
                 180,	0,	10110111,	11011110,	1,	00101111101100101,	0
                 190,	1,	10110111,	11011110,	1,	01001111010110010,	1
                 200,	0,	10110111,	11011110,	1,	01001111010110010,	1
                 210,	1,	10110111,	11011110,	1,	01001111010110010,	1
                 220,	0,	10110111,	11011110,	1,	01001111010110010,	1
                 225,	0,	10110111,	00011110,	1,	01001111010110010,	1
                 230,	1,	10110111,	00011110,	1,	01001111010110010,	0
                 240,	0,	10110111,	00011110,	1,	01001111010110010,	0
                 245,	0,	10110111,	00011110,	0,	01001111010110010,	0
                 250,	1,	10110111,	00011110,	0,	00000000000000000,	0
                 260,	0,	10110111,	00011110,	0,	00000000000000000,	0
                 265,	0,	10110111,	00011110,	1,	00000000000000000,	0
                 270,	1,	10110111,	00011110,	1,	00000000010110111,	0
                 280,	0,	10110111,	00011110,	1,	00000000010110111,	0
                 290,	1,	10110111,	00011110,	1,	00000111101011011,	0
                 300,	0,	10110111,	00011110,	1,	00000111101011011,	0
                 310,	1,	10110111,	00011110,	1,	00001011010101101,	0
                 320,	0,	10110111,	00011110,	1,	00001011010101101,	0
                 330,	1,	10110111,	00011110,	1,	00001101001010110,	0
                 340,	0,	10110111,	00011110,	1,	00001101001010110,	0
                 350,	1,	10110111,	00011110,	1,	00000110100101011,	0
                 360,	0,	10110111,	00011110,	1,	00000110100101011,	0
                 370,	1,	10110111,	00011110,	1,	00001010110010101,	0
                 380,	0,	10110111,	00011110,	1,	00001010110010101,	0
                 390,	1,	10110111,	00011110,	1,	00001100111001010,	0
                 400,	0,	10110111,	00011110,	1,	00001100111001010,	0
                 410,	1,	10110111,	00011110,	1,	00000110011100101,	0
                 420,	0,	10110111,	00011110,	1,	00000110011100101,	0
                 430,	1,	10110111,	00011110,	1,	00001010101110010,	1
                 440,	0,	10110111,	00011110,	1,	00001010101110010,	1
                 450,	1,	10110111,	00011110,	1,	00001010101110010,	1
                 460,	0,	10110111,	00011110,	1,	00001010101110010,	1
                 465,	0,	10010101,	11011011,	1,	00001010101110010,	1
                 470,	1,	10010101,	11011011,	1,	00001010101110010,	0
                 480,	0,	10010101,	11011011,	1,	00001010101110010,	0
                 490,	1,	10010101,	11011011,	1,	00000000010010101,	0
                 500,	0,	10010101,	11011011,	1,	00000000010010101,	0
                 510,	1,	10010101,	11011011,	1,	00110110111001010,	0
                 520,	0,	10010101,	11011011,	1,	00110110111001010,	0
                 530,	1,	10010101,	11011011,	1,	00011011011100101,	0
                 540,	0,	10010101,	11011011,	1,	00011011011100101,	0
                 550,	1,	10010101,	11011011,	1,	01000100011110010,	0
                 560,	0,	10010101,	11011011,	1,	01000100011110010,	0
                 570,	1,	10010101,	11011011,	1,	00100010001111001,	0
                 580,	0,	10010101,	11011011,	1,	00100010001111001,	0
                 590,	1,	10010101,	11011011,	1,	01000111110111100,	0
                 600,	0,	10010101,	11011011,	1,	01000111110111100,	0
                 610,	1,	10010101,	11011011,	1,	00100011111011110,	0
                 620,	0,	10010101,	11011011,	1,	00100011111011110,	0
                 630,	1,	10010101,	11011011,	1,	00010001111101111,	0
                 640,	0,	10010101,	11011011,	1,	00010001111101111,	0
                 650,	1,	10010101,	11011011,	1,	00111111101110111,	1
                 660,	0,	10010101,	11011011,	1,	00111111101110111,	1
                 665,	0,	11101111,	11111100,	1,	00111111101110111,	1
                 670,	1,	11101111,	11111100,	1,	00111111101110111,	0
                 680,	0,	11101111,	11111100,	1,	00111111101110111,	0
                 690,	1,	11101111,	11111100,	1,	00000000011101111,	0
                 700,	0,	11101111,	11111100,	1,	00000000011101111,	0
                 710,	1,	11101111,	11111100,	1,	00111111001110111,	0
                 720,	0,	11101111,	11111100,	1,	00111111001110111,	0
                 730,	1,	11101111,	11111100,	1,	01011110100111011,	0
                 740,	0,	11101111,	11111100,	1,	01011110100111011,	0
                 750,	1,	11101111,	11111100,	1,	01101110010011101,	0
                 760,	0,	11101111,	11111100,	1,	01101110010011101,	0
                 770,	1,	11101111,	11111100,	1,	01110110001001110,	0
                 780,	0,	11101111,	11111100,	1,	01110110001001110,	0
                 790,	1,	11101111,	11111100,	1,	00111011000100111,	0
                 800,	0,	11101111,	11111100,	1,	00111011000100111,	0
                 810,	1,	11101111,	11111100,	1,	01011100100010011,	0
                 820,	0,	11101111,	11111100,	1,	01011100100010011,	0
                 830,	1,	11101111,	11111100,	1,	01101101010001001,	0
                 840,	0,	11101111,	11111100,	1,	01101101010001001,	0
                 850,	1,	11101111,	11111100,	1,	01110101101000100,	1
                 860,	0,	11101111,	11111100,	1,	01110101101000100,	1
                 870,	1,	11101111,	11111100,	1,	01110101101000100,	1
                 880,	0,	11101111,	11111100,	1,	01110101101000100,	1
                 890,	1,	11101111,	11111100,	1,	01110101101000100,	1
                 900,	0,	11101111,	11111100,	1,	01110101101000100,	1
                 910,	1,	11101111,	11111100,	1,	01110101101000100,	1
                 920,	0,	11101111,	11111100,	1,	01110101101000100,	1
                 930,	1,	11101111,	11111100,	1,	01110101101000100,	1
                 940,	0,	11101111,	11111100,	1,	01110101101000100,	1
